233, 262.0, -351.0
234, 265.5, -361.5
235, 250.5, -345.5
236, 267.5, -357.5
237, 257.5, -359.5
238, 259.0, -361.0
239, 248.0, -361.0
240, 260.0, -364.0
241, 255.5, -349.5
242, 251.0, -372.0
243, 257.0, -351.0
244, 253.5, -371.5
245, 264.5, -350.5
246, 263.0, -366.0
247, 246.5, -367.5
248, 263.0, -359.0
249, 252.0, -353.0
250, 254.0, -354.0
251, 253.0, -347.0
252, 259.0, -359.0
253, 258.5, -353.5
254, 251.0, -369.0
255, 256.5, -348.5
256, 258.0, -362.0
257, 259.0, -347.0
258, 265.0, -363.0
259, 262.5, -355.5
260, 253.5, -362.5
261, 260.5, -347.5
262, 259.5, -367.5
263, 261.0, -359.0
264, 264.5, -359.5
265, 253.0, -351.0
266, 258.0, -370.0
267, 251.0, -356.0
268, 266.5, -344.5
269, 260.5, -348.5
270, 261.0, -356.0
271, 248.5, -352.5
272, 259.5, -367.5
273, 256.0, -360.0
274, 258.5, -363.5
275, 263.5, -351.5
276, 260.0, -374.0
277, 250.5, -355.5
278, 261.0, -361.0
279, 256.5, -358.5
280, 272.5, -362.5
281, 259.0, -352.0
282, 261.5, -357.5
283, 257.0, -360.0
284, 256.5, -357.5
285, 265.0, -354.0
286, 263.0, -363.0
287, 250.0, -355.0
288, 269.0, -357.0
289, 258.5, -350.5
290, 266.5, -361.5
291, 252.0, -358.0
292, 270.0, -360.0
293, 256.0, -353.0
294, 259.5, -360.5
295, 262.5, -348.5
296, 258.5, -360.5
297, 256.5, -354.5
298, 268.0, -350.0
299, 248.5, -356.5
300, 249.0, -363.0
301, 250.5, -353.5
302, 263.5, -352.5
303, 254.5, -351.5
304, 260.5, -359.5
305, 248.0, -362.0
306, 254.0, -367.0
307, 264.0, -352.0
308, 259.0, -362.0
309, 259.0, -354.0
310, 267.0, -359.0
311, 252.0, -356.0
312, 249.0, -365.0
313, 266.5, -347.5
314, 255.0, -369.0
315, 260.0, -357.0
316, 260.5, -359.5
317, 256.0, -346.0
318, 261.0, -369.0
319, 255.0, -350.0
320, 260.5, -360.5
321, 259.0, -351.0
322, 244.5, -373.5
323, 252.0, -348.0
324, 260.5, -361.5
325, 255.0, -365.0
326, 259.0, -366.0
327, 264.0, -352.0
328, 245.0, -368.0
329, 263.0, -354.0
330, 261.5, -361.5
331, 253.5, -349.5
332, 257.0, -359.0
333, 246.5, -359.5
334, 266.0, -355.0
335, 255.5, -351.5
336, 262.0, -365.0
337, 249.0, -360.0
338, 256.5, -370.5
339, 249.0, -361.0
340, 271.0, -357.0
341, 263.0, -345.0
342, 270.5, -360.5
343, 250.5, -358.5
344, 256.5, -363.5
345, 268.5, -358.5
346, 264.0, -365.0
347, 250.5, -369.5
348, 251.0, -370.0
349, 252.5, -359.5
350, 250.5, -362.5
351, 249.0, -366.0
352, 255.5, -362.5
